origin,dest,count
1,2,-1.314886564
1,3,-1.205888749
1,4,-1.224076641
1,5,-1.191201402
1,6,-1.355272368
1,7,-1.472101916
1,8,-1.26026858
1,9,-1.925463224
1,10,-1.957746475
1,11,-2.154459944
1,12,-1.876238195
2,1,-1.601004194
2,3,-0.9456256541
2,4,-0.9858439487
2,5,-1.872098383
2,6,-1.026786427
2,7,-1.105870915
2,8,-1.162964024
2,9,-2.692112107
2,10,-1.717762898
2,11,-1.665954259
2,12,-1.811749799
3,1,-1.503525506
3,2,-1.27870572
3,4,-0.7422342621
3,5,-1.831339349
3,6,-1.668511801
3,7,-0.8039920331
3,8,-0.8791766686
3,9,-2.672064865
3,10,-2.427569544
3,11,-1.478217801
3,12,-1.432150867
4,1,-1.540807697
4,2,-1.319176905
4,3,-1.102644377
4,5,-1.660302083
4,6,-1.74770026
4,7,-1.536154057
4,8,-0.732642645
4,9,-2.32662323
4,10,-2.495016328
4,11,-2.066263836
4,12,-1.297740563
5,1,-1.191061822
5,2,-1.541632894
5,3,-1.500414574
5,4,-1.23448022
5,6,-0.6507628225
5,7,-0.5830642734
5,8,-0.5013947362
5,9,-1.59613824
5,10,-1.480395121
5,11,-1.609664546
5,12,-1.333444823
6,1,-1.706964588
6,2,-1.027557466
6,3,-1.295837366
6,4,-1.350073399
6,5,-1.112577278
6,7,-0.5059951628
6,8,-0.4039315692
6,9,-2.191027376
6,10,-1.439030335
6,11,-1.202119392
6,12,-1.313302631
7,1,-1.848069731
7,2,-1.505411491
7,3,-0.83090154
7,4,-1.095564439
7,5,-1.048107734
7,6,-0.9808262782
7,8,-0.3036222225
7,9,-2.068570169
7,10,-2.004907501
7,11,-1.259620783
7,12,-0.9709034205
8,1,-1.660119579
8,2,-1.586740503
8,3,-1.321769656
8,4,-0.7205706674
8,5,-0.9783082314
8,6,-0.9199464746
8,7,-0.8513444138
8,9,-1.765992443
8,10,-1.93878637
8,11,-1.806440299
8,12,-1.050955784
9,1,-1.925461063
9,2,-2.472041133
9,3,-2.442151338
9,4,-2.092915235
9,5,-1.595268543
9,6,-1.904906927
9,7,-1.767116634
9,8,-1.449198081
9,10,-1.828796631
9,11,-1.694519958
9,12,-1.433054529
10,1,-2.177783503
10,2,-1.717748364
10,3,-2.206658959
10,4,-2.25451333
10,5,-1.765794319
10,6,-1.439027256
10,7,-1.688116624
10,8,-1.606532659
10,9,-1.982791551
10,11,-1.685675021
10,12,-1.425850683
11,1,-2.380994387
11,2,-1.899727972
11,3,-1.466599106
11,4,-1.816971138
11,5,-1.90508877
11,6,-1.527715395
11,7,-1.259640007
11,8,-1.458914959
11,9,-1.846814882
11,10,-1.838120828
11,12,-1.291695165
12,1,-2.109977179
12,2,-2.052327881
12,3,-1.641505756
12,4,-1.302304865
12,5,-1.654572166
12,6,-1.645478678
12,7,-1.319624564
12,8,-1.050954026
12,9,-1.583746693
12,10,-1.575006085
12,11,-1.439063359
