origin,dest,count
1,2,58
1,3,63
1,4,62
1,5,63
1,6,56
1,7,52
1,8,60
1,9,33
1,10,31
1,11,23
1,12,35
2,1,46
2,3,73
2,4,72
2,5,35
2,6,70
2,7,67
2,8,64
2,9,1
2,10,41
2,11,44
2,12,37
3,1,50
3,2,60
3,4,82
3,5,37
3,6,43
3,7,79
3,8,76
3,9,2
3,10,12
3,11,51
3,12,53
4,1,49
4,2,58
4,3,67
4,5,44
4,6,40
4,7,49
4,8,82
4,9,16
4,10,9
4,11,27
4,12,59
5,1,63
5,2,49
5,3,50
5,4,61
5,6,86
5,7,88
5,8,92
5,9,46
5,10,51
5,11,46
5,12,57
6,1,42
6,2,70
6,3,59
6,4,57
6,5,66
6,7,92
6,8,96
6,9,22
6,10,53
6,11,63
6,12,58
7,1,36
7,2,50
7,3,78
7,4,67
7,5,69
7,6,72
7,8,100
7,9,27
7,10,29
7,11,60
7,12,72
8,1,44
8,2,47
8,3,58
8,4,83
8,5,72
8,6,74
8,7,77
8,9,39
8,10,32
8,11,38
8,12,69
9,1,33
9,2,10
9,3,11
9,4,26
9,5,46
9,6,34
9,7,39
9,8,53
9,10,37
9,11,42
9,12,53
10,1,22
10,2,41
10,3,21
10,4,19
10,5,39
10,6,53
10,7,43
10,8,46
10,9,30
10,11,43
10,12,53
11,1,14
11,2,34
11,3,52
11,4,37
11,5,34
11,6,49
11,7,60
11,8,52
11,9,36
11,10,36
11,12,59
12,1,25
12,2,28
12,3,45
12,4,59
12,5,44
12,6,44
12,7,58
12,8,69
12,9,47
12,10,47
12,11,53
