origin,dest,count
1,2,225.0
1,3,204.0
1,4,164.0
1,5,266.0
1,6,258.0
1,7,231.0
1,8,166.0
1,9,357.0
1,10,325.0
1,11,263.0
1,12,186.0
1,25,155.0
1,26,163.0
1,27,196.0
2,3,182.0
2,4,147.0
2,5,239.0
2,6,245.0
2,7,196.0
2,8,150.0
2,9,289.0
2,10,296.0
2,11,229.0
2,12,167.0
2,25,149.0
2,26,152.0
2,27,175.0
3,4,149.0
3,5,196.0
3,6,194.0
3,7,232.0
3,8,155.0
3,9,237.0
3,10,214.0
3,11,263.0
3,12,166.0
3,25,149.0
3,26,147.0
3,27,171.0
4,5,160.0
4,6,161.0
4,7,157.0
4,8,226.0
4,9,165.0
4,10,185.0
4,11,234.0
4,12,257.0
4,25,251.0
4,26,240.0
4,27,276.0
5,6,240.0
5,7,208.0
5,8,166.0
5,9,271.0
5,10,267.0
5,11,208.0
5,12,169.0
5,25,167.0
5,26,156.0
5,27,168.0
6,7,183.0
6,8,149.0
6,9,245.0
6,10,256.0
6,11,184.0
6,12,150.0
6,25,151.0
6,26,153.0
6,27,153.0
7,8,149.0
7,9,201.0
7,10,215.0
7,11,239.0
7,12,151.0
7,25,164.0
7,26,146.0
7,27,150.0
8,9,160.0
8,10,147.0
8,11,170.0
8,12,221.0
8,25,235.0
8,26,231.0
8,27,254.0
9,10,236.0
9,11,194.0
9,12,161.0
9,25,164.0
9,26,167.0
9,27,160.0
10,11,184.0
10,12,157.0
10,25,162.0
10,26,154.0
10,27,148.0
11,12,150.0
11,25,248.0
11,26,161.0
11,27,149.0
12,25,262.0
12,26,228.0
12,27,235.0
13,14,147.0
13,15,141.0
13,16,145.0
13,17,188.0
13,18,151.0
13,19,142.0
13,20,164.0
13,21,213.0
13,22,204.0
13,23,162.0
13,28,196.0
13,29,191.0
13,30,207.0
13,31,145.0
13,32,149.0
14,15,189.0
14,16,209.0
14,17,137.0
14,18,207.0
14,19,191.0
14,20,206.0
14,21,149.0
14,22,227.0
14,23,208.0
14,28,145.0
14,29,144.0
14,30,144.0
14,31,226.0
14,32,197.0
15,16,253.0
15,17,136.0
15,18,188.0
15,19,210.0
15,20,231.0
15,21,155.0
15,22,226.0
15,23,239.0
15,28,139.0
15,29,149.0
15,30,137.0
15,31,225.0
15,32,276.0
16,17,147.0
16,18,206.0
16,19,251.0
16,20,233.0
16,21,164.0
16,22,268.0
16,23,362.0
16,28,149.0
16,29,154.0
16,30,176.0
16,31,236.0
16,32,271.0
17,18,133.0
17,19,138.0
17,20,152.0
17,21,192.0
17,22,149.0
17,23,139.0
17,28,213.0
17,29,201.0
17,30,188.0
17,31,143.0
17,32,144.0
18,19,179.0
18,20,183.0
18,21,145.0
18,22,204.0
18,23,183.0
18,28,153.0
18,29,147.0
18,30,144.0
18,31,194.0
18,32,201.0
19,20,240.0
19,21,145.0
19,22,185.0
19,23,208.0
19,28,142.0
19,29,153.0
19,30,139.0
19,31,235.0
19,32,229.0
20,21,160.0
20,22,220.0
20,23,293.0
20,28,160.0
20,29,148.0
20,30,152.0
20,31,230.0
20,32,242.0
21,22,140.0
21,23,142.0
21,28,226.0
21,29,218.0
21,30,198.0
21,31,175.0
21,32,145.0
22,23,175.0
22,28,220.0
22,29,188.0
22,30,140.0
22,31,265.0
22,32,188.0
23,28,185.0
23,29,148.0
23,30,138.0
23,31,265.0
23,32,230.0
25,26,221.0
25,27,255.0
26,27,228.0
28,29,203.0
28,30,216.0
28,31,148.0
28,32,155.0
29,30,200.0
29,31,146.0
29,32,150.0
30,31,148.0
30,32,161.0
31,32,230.0
