origin,dest,count
1,1,0.5414364640883979
1,2,0.6215469613259669
1,3,0.56353591160221
1,4,0.4530386740331492
1,5,0.7348066298342542
1,6,0.7127071823204421
1,7,0.638121546961326
1,8,0.45856353591160226
1,9,0.9861878453038675
1,10,0.8977900552486189
1,11,0.7265193370165746
1,12,0.5138121546961326
1,25,0.4281767955801105
1,26,0.45027624309392267
1,27,0.5414364640883979
2,1,0.6215469613259669
2,2,0.5
2,3,0.5027624309392266
2,4,0.40607734806629836
2,5,0.6602209944751382
2,6,0.6767955801104972
2,7,0.5414364640883979
2,8,0.4143646408839779
2,9,0.7983425414364642
2,10,0.8176795580110499
2,11,0.6325966850828729
2,12,0.4613259668508287
2,25,0.4116022099447514
2,26,0.419889502762431
2,27,0.4834254143646409
3,1,0.56353591160221
3,2,0.5027624309392266
3,3,0.4696132596685083
3,4,0.4116022099447514
3,5,0.5414364640883979
3,6,0.5359116022099448
3,7,0.6408839779005525
3,8,0.4281767955801105
3,9,0.6546961325966851
3,10,0.5911602209944752
3,11,0.7265193370165746
3,12,0.45856353591160226
3,25,0.4116022099447514
3,26,0.40607734806629836
3,27,0.47237569060773477
4,1,0.4530386740331492
4,2,0.40607734806629836
4,3,0.4116022099447514
4,4,0.4668508287292818
4,5,0.4419889502762431
4,6,0.44475138121546964
4,7,0.43370165745856354
4,8,0.6243093922651934
4,9,0.4558011049723757
4,10,0.511049723756906
4,11,0.6464088397790055
4,12,0.7099447513812155
4,25,0.6933701657458564
4,26,0.6629834254143647
4,27,0.7624309392265194
5,1,0.7348066298342542
5,2,0.6602209944751382
5,3,0.5414364640883979
5,4,0.4419889502762431
5,5,0.5414364640883979
5,6,0.6629834254143647
5,7,0.574585635359116
5,8,0.45856353591160226
5,9,0.7486187845303868
5,10,0.7375690607734806
5,11,0.574585635359116
5,12,0.4668508287292818
5,25,0.4613259668508287
5,26,0.430939226519337
5,27,0.4640883977900553
6,1,0.7127071823204421
6,2,0.6767955801104972
6,3,0.5359116022099448
6,4,0.44475138121546964
6,5,0.6629834254143647
6,6,0.5
6,7,0.505524861878453
6,8,0.4116022099447514
6,9,0.6767955801104972
6,10,0.7071823204419889
6,11,0.5082872928176796
6,12,0.4143646408839779
6,25,0.4171270718232044
6,26,0.4226519337016575
6,27,0.4226519337016575
7,1,0.638121546961326
7,2,0.5414364640883979
7,3,0.6408839779005525
7,4,0.43370165745856354
7,5,0.574585635359116
7,6,0.505524861878453
7,7,0.4696132596685083
7,8,0.4116022099447514
7,9,0.5552486187845305
7,10,0.5939226519337018
7,11,0.6602209944751382
7,12,0.4171270718232044
7,25,0.4530386740331492
7,26,0.40331491712707185
7,27,0.4143646408839779
8,1,0.45856353591160226
8,2,0.4143646408839779
8,3,0.4281767955801105
8,4,0.6243093922651934
8,5,0.45856353591160226
8,6,0.4116022099447514
8,7,0.4116022099447514
8,8,0.4668508287292818
8,9,0.4419889502762431
8,10,0.40607734806629836
8,11,0.4696132596685083
8,12,0.6104972375690607
8,25,0.6491712707182321
8,26,0.638121546961326
8,27,0.701657458563536
9,1,0.9861878453038675
9,2,0.7983425414364642
9,3,0.6546961325966851
9,4,0.4558011049723757
9,5,0.7486187845303868
9,6,0.6767955801104972
9,7,0.5552486187845305
9,8,0.4419889502762431
9,9,0.5414364640883979
9,10,0.6519337016574586
9,11,0.5359116022099448
9,12,0.44475138121546964
9,25,0.4530386740331492
9,26,0.4613259668508287
9,27,0.4419889502762431
10,1,0.8977900552486189
10,2,0.8176795580110499
10,3,0.5911602209944752
10,4,0.511049723756906
10,5,0.7375690607734806
10,6,0.7071823204419889
10,7,0.5939226519337018
10,8,0.40607734806629836
10,9,0.6519337016574586
10,10,0.5
10,11,0.5082872928176796
10,12,0.43370165745856354
10,25,0.44751381215469616
10,26,0.425414364640884
10,27,0.4088397790055249
11,1,0.7265193370165746
11,2,0.6325966850828729
11,3,0.7265193370165746
11,4,0.6464088397790055
11,5,0.574585635359116
11,6,0.5082872928176796
11,7,0.6602209944751382
11,8,0.4696132596685083
11,9,0.5359116022099448
11,10,0.5082872928176796
11,11,0.4696132596685083
11,12,0.4143646408839779
11,25,0.6850828729281768
11,26,0.44475138121546964
11,27,0.4116022099447514
12,1,0.5138121546961326
12,2,0.4613259668508287
12,3,0.45856353591160226
12,4,0.7099447513812155
12,5,0.4668508287292818
12,6,0.4143646408839779
12,7,0.4171270718232044
12,8,0.6104972375690607
12,9,0.44475138121546964
12,10,0.43370165745856354
12,11,0.4143646408839779
12,12,0.4668508287292818
12,25,0.7237569060773481
12,26,0.6298342541436464
12,27,0.6491712707182321
13,13,0.4171270718232044
13,14,0.40607734806629836
13,15,0.38950276243093923
13,16,0.40055248618784534
13,17,0.5193370165745856
13,18,0.4171270718232044
13,19,0.39226519337016574
13,20,0.4530386740331492
13,21,0.5883977900552486
13,22,0.56353591160221
13,23,0.44751381215469616
13,24,0.4530386740331492
13,28,0.5414364640883979
13,29,0.5276243093922652
13,30,0.5718232044198895
13,31,0.40055248618784534
13,32,0.4116022099447514
14,13,0.40607734806629836
14,14,0.4171270718232044
14,15,0.5220994475138121
14,16,0.5773480662983426
14,17,0.3784530386740331
14,18,0.5718232044198895
14,19,0.5276243093922652
14,20,0.569060773480663
14,21,0.4116022099447514
14,22,0.6270718232044199
14,23,0.574585635359116
14,24,0.569060773480663
14,28,0.40055248618784534
14,29,0.39779005524861877
14,30,0.39779005524861877
14,31,0.6243093922651934
14,32,0.5441988950276243
15,13,0.38950276243093923
15,14,0.5220994475138121
15,15,0.43370165745856354
15,16,0.6988950276243094
15,17,0.3756906077348066
15,18,0.5193370165745856
15,19,0.580110497237569
15,20,0.638121546961326
15,21,0.4281767955801105
15,22,0.6243093922651934
15,23,0.6602209944751382
15,24,0.638121546961326
15,28,0.3839779005524862
15,29,0.4116022099447514
15,30,0.3784530386740331
15,31,0.6215469613259669
15,32,0.7624309392265194
16,13,0.40055248618784534
16,14,0.5773480662983426
16,15,0.6988950276243094
16,16,0.4696132596685083
16,17,0.40607734806629836
16,18,0.569060773480663
16,19,0.6933701657458564
16,20,0.6436464088397791
16,21,0.4530386740331492
16,22,0.7403314917127073
16,23,1.0
16,24,0.6436464088397791
16,28,0.4116022099447514
16,29,0.425414364640884
16,30,0.4861878453038674
16,31,0.6519337016574586
16,32,0.7486187845303868
17,13,0.5193370165745856
17,14,0.3784530386740331
17,15,0.3756906077348066
17,16,0.40607734806629836
17,17,0.4171270718232044
17,18,0.3674033149171271
17,19,0.3812154696132597
17,20,0.419889502762431
17,21,0.5303867403314917
17,22,0.4116022099447514
17,23,0.3839779005524862
17,24,0.419889502762431
17,28,0.5883977900552486
17,29,0.5552486187845305
17,30,0.5193370165745856
17,31,0.39502762430939226
17,32,0.39779005524861877
18,13,0.4171270718232044
18,14,0.5718232044198895
18,15,0.5193370165745856
18,16,0.569060773480663
18,17,0.3674033149171271
18,18,0.4171270718232044
18,19,0.494475138121547
18,20,0.505524861878453
18,21,0.40055248618784534
18,22,0.56353591160221
18,23,0.505524861878453
18,24,0.505524861878453
18,28,0.4226519337016575
18,29,0.40607734806629836
18,30,0.39779005524861877
18,31,0.5359116022099448
18,32,0.5552486187845305
19,13,0.39226519337016574
19,14,0.5276243093922652
19,15,0.580110497237569
19,16,0.6933701657458564
19,17,0.3812154696132597
19,18,0.494475138121547
19,19,0.43370165745856354
19,20,0.6629834254143647
19,21,0.40055248618784534
19,22,0.511049723756906
19,23,0.574585635359116
19,24,0.6629834254143647
19,28,0.39226519337016574
19,29,0.4226519337016575
19,30,0.3839779005524862
19,31,0.6491712707182321
19,32,0.6325966850828729
20,13,0.4530386740331492
20,14,0.569060773480663
20,15,0.638121546961326
20,16,0.6436464088397791
20,17,0.419889502762431
20,18,0.505524861878453
20,19,0.6629834254143647
20,20,0.4696132596685083
20,21,0.4419889502762431
20,22,0.6077348066298343
20,23,0.8093922651933703
20,24,0.4696132596685083
20,28,0.4419889502762431
20,29,0.4088397790055249
20,30,0.419889502762431
20,31,0.6353591160220995
20,32,0.6685082872928176
21,13,0.5883977900552486
21,14,0.4116022099447514
21,15,0.4281767955801105
21,16,0.4530386740331492
21,17,0.5303867403314917
21,18,0.40055248618784534
21,19,0.40055248618784534
21,20,0.4419889502762431
21,21,0.4171270718232044
21,22,0.3867403314917127
21,23,0.39226519337016574
21,24,0.4419889502762431
21,28,0.6243093922651934
21,29,0.6022099447513812
21,30,0.5469613259668509
21,31,0.4834254143646409
21,32,0.40055248618784534
22,13,0.56353591160221
22,14,0.6270718232044199
22,15,0.6243093922651934
22,16,0.7403314917127073
22,17,0.4116022099447514
22,18,0.56353591160221
22,19,0.511049723756906
22,20,0.6077348066298343
22,21,0.3867403314917127
22,22,0.4171270718232044
22,23,0.4834254143646409
22,24,0.6077348066298343
22,28,0.6077348066298343
22,29,0.5193370165745856
22,30,0.3867403314917127
22,31,0.7320441988950277
